sn,Comments,Labels
6914,"The representative was very professional and helped rapidly, 10/10 for her.","Representative ,Representative "
6915,Provided the information requested.  She was very helpful.,Representative 
6916,Just that I was hoping for better result for asking for increase im credi limit,Terms 
6917,Good customer services,Customer Service 
6918,These people are only intereses2 in taking your money and nothing else. There are other says to rebuild your credit. Stay away from  ABC.,"Brand ,Life Events ,Policy "
6919,I tried about 8 times to change my pin and just kept going in a circle,"Account Maintenance & Closing ,Credit/Debit Card "
6920,"The agent had horrendous customer service, kept asking me for the same information over and over again, did not listen very well, and then told me *I* did something wrong to get to him and that he couldn’t activate my card ... only to a minute later activate my card!!! I spent 20 minutes talking to him and he was going to transfer me to an automated activation line that I had JUST COME FROM. WORST experience with a call center EVER. I work at a call center and would never think of behaving this way! Desperate need of additional training and people skills!","Credit/Debit Card ,Customer Service ,Phone Experience ,Representative ,Representative ,Representative "
6921,I have been always pleased with my financial transactions during purchases and updating me on any transaction that may look suspicious and to always making sure my credit card is not compromised by any fraudsters. I enjoy banking with  ABC.,"Brand ,Fraud and Disputes "
6922,Living in Canada in an English and French country I would prefer to have somebody to deal with that their preferred language is actually English or French not with a thick Indian accent that I cannot understand,Representative 
6923,You guys are ever understandable,Representative 
6924,Very positive experience,Brand 
6925,"Customer service is excellent at understanding my situation, & easy to agree to solutions to rectify problems","Customer Service ,Issue Resolution ,Representative ,Representative ,Representative ,Representative "
6926,Good timely and courteous service.,"Customer Service ,Representative "
6927,"Friendly customer service, great website","Customer Service ,Representative "
6928,"My account was compromised, the service representative was wonderful","Customer Service ,Fraud and Disputes ,Representative "
6929,I was treated with outmost respect. No judgement passed by Caller,"Representative ,Representative "
6930,Customer service rep didnt know how to make a payment,Representative 
6931,Being told ine thing over chat and then some different over the phone is BS. My payments were to pay my card up so that I could use it again but apparently this company canceled my account on it's own.,"Account Maintenance & Closing ,Website Features "
6932,"the Reason of my call was to report a declined transaction with united.com twice. The agent Kevin, in which he didn’t want to give me his last name, started the conversation in a rude way(listen the call records). I mentioned that I cannot call every time that I need to do a transaction (this is not te standard practice)  I have requested to talk to his supervisor and he said me that no supervisor is on duty, you need to wait three days (very surprised about this answer specially because this is a financial institution with protocols to follow). During that day I loose the deal and I booked the travel with a Visa card. Not sure if I can trust ABC for a future transaction in a web. I will wait for the call of a supervisor of  ABC to review this case.","Brand ,Customer Service ,Phone Experience ,Phone Experience ,Representative "
6933,Quick and helpful service,Representative 
6934,Trusted and good service,Customer Service 
6935," ABC gave us a temporary paper card then sent us our (2) cards to be activated on line which we did. They had taken awhile to get here and we immediately started to activate them - they took quite awhile to activate - whether we were not used to your system or what but in a phone call with  ABC we were assured that all was well - lots of information went back and forth.  After that conversation I felt better and then we got another set of cards and now I was worried - silly maybe, but I wondered if I had spoken to  ABC or someone else and was worried I had made a mistake of not being as cautious as usual in conversation ... so I called  ABC and talked to someone who told me to destroy the new cards and carry on with the ones I had activated.  I told her that I was upset because of the 2nd cards making me worried that the first were not real!  And, so that is my story.  I destroyed the new cards and we have kept the ones first received, although we have yet to use them.  We have just mailed a cheque to  ABC to pay the balance.","Credit/Debit Card ,Payments "
6936,She was patient professionly and manerly in her tone of voice to resolve the matter need more like her.,"Representative ,Representative ,Representative "
6937,CSR was very rude. It makes me want to pay off this card and never use again,Representative 
6938,I appreciate the quick care and effort put in from your staff to help and understand us! Plus understanding us and our problems is a bonus! Thank you for the support I always receive !,"Representative ,Representative ,Representative "
6939,Very bad customer service,Customer Service 
6940,The card has great benefits. And the Customer service representative I spoke to was very friendly and efficient.,"Promotions and Benefits ,Representative ,Representative "
6941,very helpful and friendly,"Representative ,Representative "
6942,Customer service is great. But the limitation of the card is way too limited. Need to be able to able to increase the limits,"Customer Service ,Terms "
6943,"First of all their English not understood, second i asked the credit department if it’s possible to upgrade my credit card to a different one and they told me to go do it online myself...
I used to call Royal bank and Cibc visa in the past and they would immediately tell me if i I qualified and they would even advise to do it or not... not the  ABC employees...","Representative ,Representative "
6944,On hold for a long tine.,Phone Experience 
6945,Great service!,Customer Service 
6946,Great quality customer service. Getting all the right answers to my questions.. ty to  ABC and its employees.,"Customer Service ,Representative "
6947,The agent helped me with all my concerns.,Representative 
6948,This card has a fantastic customer service team.,"Customer Service ,Representative "
6949,Very helpful and answer all of my question.,"Representative ,Representative "
6950,I couldn’t understand what the person was saying,Representative 
6951,Very helpful,Representative 
6952,The customer service rep was not friendly and I was surprised my renewal card did not arrive and I didn't realize until my current card expired.,"Credit/Debit Card ,Credit/Debit Card ,Representative "
6953,becaue you can only have one mobile number to be alerted of purchases,"Account Communications ,Fraud and Disputes "
6954,"Points, notice of purchase immediately on my phone, ability to tap card","Account Communications ,Fraud and Disputes ,Phone Experience "
6955,the representative helped me immediately and solved my question exactly.,"Issue Resolution ,Representative ,Representative "
6956,Your call centre people speak broken English and speak way too fast to understand.  Fraudulent charges to my account took several calls to get the right department to deal with the situation.  Has not yet been resolved.,"Fraud and Disputes ,Issue Resolution ,Phone Experience ,Representative ,Representative "
6957,I have not got a solution to my claim,"Fraud and Disputes ,Issue Resolution ,Representative "
6958,Person not sure how to answer my question,Representative 
6959,My issue was resolved quickly and the agent was very friendly.,"Issue Resolution ,Issue Resolution ,Representative ,Representative "
6960,Takes to long to receive the card & PIN number I have been waiting 2 months,"Credit/Debit Card ,Credit/Debit Card "
6961,service and dependable,Customer Service 
6962,I don’t like to give out financial advice. But if some ask for my opinion I would recommend  ABC.,Brand 
6963,GOOD AND PROMPT SERVICE,Customer Service 
6964,I have been consistently having the same problem of problems loggin in on my mobile to get an update of my balances and the C.S. rep. who answered my call was finally able to identify the problem which eased my frustration since he gave me the good news that the cause of the problem will be fixed in 2 weeks.  I was so happy that it soon will be over.  Thanks to thr rep for his time and effort.,"Issue Resolution ,Issue Resolution ,Mobile App ,Representative ,Representative ,Representative ,Transaction Types "
6965,They have been good and helpful to me,Representative 
6966,"The main reason is that I do not like to respond to feedback questions with a definite answer, as there are a few good providers that I deal with and will probably group all of them together in my recommendation.
I find it that most banking providers give more or less same service and products.",Representative 
6967,I felt my call was important to  ABC and it was dealt with in a very efficient manner.,"Brand ,Representative "
6968,I’ve tried on many times to get a problem fix and have been given the run around every time still haven’t got the problem fixed,"Issue Resolution ,Issue Resolution ,Issue Resolution ,Representative "
6969,Account is protected from fraud.,Fraud and Disputes 
6970,My question was answered fast and efficiently.,Representative 
6971,I talked to 3 different people and went through the security check only to not have my reason for call fixed,Representative 
6972,"I had strange activity on my account so  ABC automatically put a red flag on my account saving charges that were not mine. The customer representative was straight forward and to the point which I liked very much. In determining charges were made without my knowledge the card was deactivated right away and a new one sent out to me right away. This shows that the people at  ABC really do care. After that phone call I felt at ease compared to when the conversation first started. I was panicking. I was assured that any charges not made by me would not be reflected on my account, I was able to make a sigh of relief, yes credit cards are about money and interest rates but at  ABC it is about the customer as well. They are in the money business as well as the people business and knowing that I sleep just a bit better every night. Thank you  ABC you are alright by me.

Robert, Pittman.","Account Maintenance & Closing ,Credit/Debit Card ,Credit/Debit Card ,Fraud and Disputes ,Terms "
6973,"TERRIBLE CUSTOMER SERVICE.
Your people didn't check my/my husbands' identity via phone like they said they'll do, so the bottom line is that we were unable to use our funds for 2 and 1/2 weeks. During that time, I/we phoned  ABC THREE times and every time I was told the account would be blocked for 24-48 , then 72  and then again 72 hours. 
Great situation, especially when you move into a new house the next day and my husband had to go overseas for more than 2 weeks. 

When my husband got back from his business trip, we drove to the physical address in North York, Toronto. We had our passports and drivers licenses to identify ourselves, just to learn that  ABC move to Bay Street in Toronto, and never updated the information on their web site. As my husband had to take time off work, we didn't have enough time to drive the the new address.

I visited YYY as a last resource for help, as the next step would have been to go to the local police station ( as indicated by one of the  ABC employees). After more than 30 minutes on the telephone with  ABC (who still refused to activated our account, although I was standing right in front of the YYY employee who could identify me, as my photo is on the  ABC credit card),  it was still not good enough the activate my card. With the persistent help of the YYY employee's help, our account was activated.

After all the stress and anxiety this two and a half week episode caused us, we closed the account the same day. I would never recommend  ABC to anyone.","Account Maintenance & Closing ,Account Maintenance & Closing ,Becoming a Customer ,Brand ,Credit/Debit Card ,Credit/Debit Card ,Customer Service ,Life Events ,Phone Experience ,Representative ,Representative "
6974,We called three times to contact  ABC. Each time we waited on hold for about twenty minutes. First and second calls it sounded like someone picked up the phone and hung up.,"Phone Experience ,Phone Experience ,Phone Experience "
6975,My call was taken quickly. The person was helpful and easy to understand.,"Phone Experience ,Representative ,Representative "
6976,Excellent service,Customer Service 
6977,Outstanding service,Customer Service 
6978,"First I tried the online chat, but was not helpful at all since it was just repeating things I already did. Then I made phone call and they told me they were transfering me to the security department and I was just stuck waiting for 20 minutes until I hung up. That's not good customer service.","Customer Service ,Phone Experience ,Representative ,Website Features "
6979,Very efficient good questions to identify fraud,Fraud and Disputes 
6980,Easy to talk too. Understood me,Representative 
6981,Friendly staff and no frills credit card. You get what you get and nothing is ever hidden.,Representative 
6982,The rep was very professional and courteous,"Representative ,Representative "
6983,Very professional and helpful with my concerns,"Representative ,Representative "
6984,The gentleman who answered the phone did not answer my question. I have had now 2 cards reported to have fraudulent purchases.,"Fraud and Disputes ,Representative "
6985,"I needed a credit card to build a credit record, and  ABC was prepared to help.","Life Events ,Policy "
6986,Alway fast and reliable service,Customer Service 
6987,"Waited way too much longer on the line before I spoke to an employee. Plus, I had to repeat all the information I had already given to the first employee.
Would not recommend that credit card.",Phone Experience 
6988,The person I spoke to helped me with what I needed,Representative 
6989,Very helpful quick,Representative 
6990,Polite speedy concern for me and my financial situation.,Representative 
6991,I was on vacation to Rome Italy somehow was picked pocket at metro I did lost of my credit card including  ABC YYY the representative has simple system to block my credit card which was my big concern while they stole my wallet give worries free of the consequences to my accounts and the solution of replacing my card,"Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Representative "
6992,Courteous and efficient service.,"Customer Service ,Representative "
6993,"not a lot of experience with the card, but the person on the phone was very helpful in fixing up my online banking attempt.","Representative ,Representative ,Website "
6994,Have not had one increase since I had my card 6 years,Brand 
6995,Couldn’t help me but did say we could persuade an issue in 15 days,"Issue Resolution ,Representative "
6996,"Any time I have had to call you, I have always had a very polite and experienced member of your team.","Phone Experience ,Representative ,Representative "
6997,"Whoever i talk to was great,greatly appreciated,he help me greatly,thanks","Representative ,Representative "
6998,Talking to computer is not my cup of tea.,"Cafe ,Phone Experience "
6999,Friendly service,Representative 
7000,Very helpful and friendly. Great service.,"Customer Service ,Representative ,Representative "
7001,"In the past year, including my most recent call, I have been on hold to wait to speak to a person every single time I call anywhere from 30 minutes to over an HOUR  (and yes I have gone through the self service options), to the point that I just finally hang up because I cannot EVER get a hold of anybody.  And I have concerns that need to be addressed ie: I have not received any bills in the mail for 9 MONTHS now.  I have been able to get around this by signing in online to check my bill, but I still should continue to receive my bill in the mail.  I have never signed up for paperless billing.  Finally, some system at  ABC flagged that my mailing address was marked undeliverable.  So I logged in online to double check my mailing address and it is FINE, and the EXACT same address that I have been using for 20 years for everybody else, yet for whatever reason  ABC screws up yet again, and I am sick and tired of wasting about a total of 5 hours over the past year waiting on the phone to speak to the non-existent customer service at  ABC.  Back in December when  ABC accidentally stopped sending me paper statements, I missed a bill payment because of it, which is  ABC's fault, which you still have not fixed to this day in terms of sending me any paper statements.","Account Communications ,Account Communications ,Issue Resolution ,Issue Resolution ,Phone Experience ,Phone Experience ,Website Security "
7002,Excellent agent's service.,"Customer Service ,Representative "
7003,Representative was very helpful and understanding,Representative 
7004,Unreasonably high interest rate,Terms 
7005,The customer service was not good.  Bounced around to 3 agents with no resolve and told I'd have to call back on wednesday,"Customer Service ,Issue Resolution ,Phone Experience ,Representative "
7006,Because they were very helpful,Representative 
7007,The woman and spoke to was amazing and helpful.,"Representative ,Representative "
7008,Friendly and courteous,Representative 
7009, ABC help me get myself out of debt and boost my credit,"Policy ,Representative "
7010,"welcome rewards is great 
redeem points is very good and fast 

 ABC is my best 
the only issue for me is the annual fee","Brand ,Customer Service ,Issue Resolution ,Issue Resolution ,Reward Redemption ,Rewards ,Rewards ,Terms "
7011,Great service and tech support when ever I need it .,"Customer Service ,Representative "
7012,overall satisfied with help from  ABC call centre,"Brand ,Representative "
7013,fast kind & painless service. problem sorted in 2 mins,Issue Resolution 
7014,I was very disappointed in the meager credit limit; especially after i provided my SIN as well to verify my income amd all finances.,Terms 
7015,"Each time I had an issue, Customer Service was great in helping.","Customer Service ,Representative ,Representative "
7016,"The service was amazing, Zachary was patient and understanding, he worked with me to set up my payments.","Customer Service ,Representative ,Representative ,Representative ,Representative "
7017,"The agent that I spoke to was very rude, at one point called me 'boss' rather than my proper name. He was condesending and made a significant error that may have cost me several hundred dollars. After I indicated that I wanted to close my account he started reading me a 'disclosure statement'. Problem was that while he was reading the statement he closed the account. When I found out that closing the account would forfeit my reward $'s I asked him not to close the account until I was able to recieve my reward points. Too late, he said. Cannot be undone. I was choked.

I asked to speak to his superviso - he denied that he had a supervisor. Eventually after threatening to hang up and call customer service he agreed to transfer me to somebody else. He did not stay on the line to introduce me to the next person as he was supposed to do.  All in all, terrible customer service. The supervisor was excellent. She understood my concerns and took immediate steps to rectify the problem. I was very pleased with her service. The first guy should not be doing this type of job. Feel free to follow up with me by phone - 250-476-1170","Account Communications ,Account Maintenance & Closing ,Becoming a Customer ,Customer Service ,Customer Service ,Customer Service ,Issue Resolution ,Issue Resolution ,Phone Experience ,Phone Experience ,Phone Experience "
7018,Got all my questions answered and client rep was very polite.,"Representative ,Representative "
7019,No - the problem I had was resolved,"Issue Resolution ,Representative "
7020,Cause I have just started out the process to get a  ABC credit card and so far all has been good,Brand 
7021,It's because I like their customer service,Customer Service 
7022,The agent was very attentive and gave me all the possible options I had to solve my issue.,"Issue Resolution ,Representative ,Representative "
7023,She helped as required,Representative 
7024,Help full and Patient staff always stay until my queries finished The find solutionsfind to problems,"Representative ,Representative ,Representative ,Representative "
7025,I applied on-line June 21. I got 2 letters July 3rd saying I was approved and also the code and that I would go the card soon. I waited til July 25th and called  ABC to ask if I was still approved or did  ABC change their minds because I have not received the card yet. The man I spoke to said it was it had been sent and that if I did not receive it by Friday to call back. I waited 2 weeks more to be sure and called back 2 days ago. The lady who I spoke with reviewed the account and is re-sending me a new card and that I should receive it in another 7-10 days. The whole process has been frustrating.,"Account Communications ,Credit/Debit Card ,Credit/Debit Card ,Customer Service ,Phone Experience ,Phone Experience ,Phone Experience "
7026,Friendly,Representative 
7027,"When it came to a big thing like being able to afford to pay off my card, you guys helped me out immensely",Representative 
7028,Great app,Mobile App 
7029,We didn't receive our card,Credit/Debit Card 
7030,They had technical issues and told me to call back in 5 hours,"Issue Resolution ,Phone Experience "
7031,Very satisfied with our Travel Rewards Program,"Rewards ,Rewards ,Rewards "
7032,Service is always friendly and efficient,"Customer Service ,Representative "
7033,"Reminder your due pay and transaction, best for people busy or bad memory like me","Branch ,Representative ,Transactions/Process Experience "
7034,Nothing to specific at this point just that the rebates look good.,Promotions and Benefits 
7035,Very good to talk too and helpful,Representative 
7036,Customer loyalty should be rewarded,Rewards 
7037,It’s a great way to build your credit and a great card,"Life Events ,Policy "
7038,"After being an avid customer for years they now refuse to upgrade my credit card, I am about to cancel the present account I have with them.","Account Maintenance & Closing ,Brand ,Credit/Debit Card ,Credit/Debit Card "
7039,Since days now I have issue with my login and still not fixed,"Issue Resolution ,Issue Resolution "
7040,"Horrible service, irrational and arrogant customer service!  ABC made stupid mistakes and askd customers to pay for the cost! I could barely imagine any comoany would be this shamless.","Customer Service ,Representative "
7041,Service was fast and efficient,Customer Service 
7042,Good and timely service,Customer Service 
7043,Person was friendly and helpful.,"Representative ,Representative "
7044,I didn’t have a good experience because I was having difficulty understanding the representative,"Brand ,Representative "
7045,"I waited on hold for about 20 minutes & when a person came on the line, he said your system was down so he couldn’ Help me.  Could there not have been a message when I first called in saying the computer system was down so I wouldn’t have waited 20 min. To talk to an agent & he told that?","Phone Experience ,Phone Experience ,Representative "
7046,I was treated very well.,Representative 
7047,The woman I spoke with was beyond rude.   I was disgusted.,Representative 
7048,"I called and reported that my card had not worked in months. I do not use this credit card often but I wanted the issue resolved. The agent looked at my account, told me everything looks fine and told me to just go out and use my card. She could see that ther has been no activity on my card in months and despite me telling her something was wrong she just did not seem interested. Didn’t even offer to send me a new card. Sounded completely bored with my call. I chose not to argue with her, thanked her for her time and let her go. I’ll be paying off my card soon and cancelling it. I’m sure another company wants my money.","Account Maintenance & Closing ,Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Issue Resolution ,Representative ,Representative "
7049,I had a good experience with customer service.  They were knowledgeable and patient.,"Customer Service ,Representative ,Representative "
7050,Quick response time..very courteous,Representative 
7051,the wait time is too long,Phone Experience 
7052,David was very helpful and accommodating!  From the disputes dept.,"Fraud and Disputes ,Representative "
7053,"The customer service representative today was very polite, friendly and very accommodating.","Representative ,Representative "
7054,The person that I was speaking with was very helpful,Representative 
7055,good customer service,Customer Service 
7056,Build up credit,"Life Events ,Policy "
7057,Great benefits cashback is always good,"Rewards ,Rewards ,Rewards "
7058,"Called for a questionable charge(I didn't recognize vendor), your service person very patient and helpful","Fraud and Disputes ,Representative ,Representative "
7059,Cash back and good customer service,"Customer Service ,Rewards ,Rewards ,Rewards "
7060,Helped me to get my credit back,Policy 
7061,She was very clear and very pleasant and also understood the importance of needing my card replaced as quickly as possible. The costumer service was awesome.,"Credit/Debit Card ,Customer Service ,Representative ,Representative ,Representative "
7062,Good service,Customer Service 
7063,very attentive,Representative 
7064,"It is very frustrating when you allow ""THESE PEOPLE"" to take money from my card when I cancelled them 10 or 12 years ago.  How did they get my new number?  This has happened before--and these people keep on trying because they can get away with it.","Account Maintenance & Closing ,Account Maintenance & Closing ,Credit/Debit Card "
7065,My wife’s card won’t work ar gas station pumps.  She made a purchase that was declined to the merchant.  When my wife called for an explanation the agent said try it again it will be accepted...it wasn’t. When my wife called  ABC for an explanation the agent told her to use another card and hung up on her.,"Credit/Debit Card ,Representative "
7066,Customer service was very good and easy to understand.,"Customer Service ,Representative "
7067, ABC helped me learn how to be efficient with my credit. It helped me regain the power over my spending,"Brand ,Representative "
7068,24 hours online but its hard to contact no one answer the phone when i need urgent help.,Phone Experience 
7069,Quick to answer the line and able to provide help,"Phone Experience ,Representative ,Representative "
7070,"Your mobile app and online access don't work for no reason. Either your system has been hacked and you're hiding it from your clients, and that's a crime. Or your system is really bad that you're not able to maintain it. I will cancel my card for sure.","Account Maintenance & Closing ,Credit/Debit Card ,Data and ID Security ,Mobile App ,Website "
7071,they where freindly and tryed to understand and help me,"Representative ,Representative ,Representative "
7072,"You guys have me credit right when I finished all my schooling and finished getting out of hard times. I had lost all credit. Credit is important to me as I would love to one day buy a home. You guys also gave me a credit increase of 4000 enabling me to enjoy life again. Thank you!!!  

 Jaysper manhas 
RSE (red seal endorsement)","Life Events ,Life Events ,Terms "
7073,"The customer service rep was cordial, fast and able to resolve our concern.","Issue Resolution ,Representative ,Representative "
7074,I was happy with Carlo. He was polite and professional.,"Representative ,Representative "
7075,"I never received an answer to my question, was just told that there is no reason.",Representative 
7076,"I wanted help changing my alerts from email to text, and she couldn't help me. Every time I attempt to do anything on this site, there is always some problem I run into.","Account Communications ,Account Maintenance & Closing ,Fraud Alerts ,Fraud Alerts ,Representative ,Website "
7077,"I like the feedback I get about bills owing, payments made and unusual activity on the card.","Fraud and Disputes ,Fraud and Disputes "
7078,"While I appreciate the opportunity to be provided a secured card to rebuild my credit, i cancelled after no one (even a supervisor) could explain the block on activating my new card in a way I could understand. The responses I got were scripted and there was no thought behind them at all.","Banking Products/Services ,Credit/Debit Card ,Credit/Debit Card ,Customer Service ,Life Events ,Phone Experience ,Policy ,Representative "
7079,Good customer service provided on phone,Customer Service 
7080,good service,Customer Service 
7081,When told about a mistake in payment you returned an interest charge.,Terms 
7082,Cuz  ABC gave me a chance when no one esle would to try and help build my credit,"Life Events ,Policy ,Representative "
7083,Conflicting advice on rewards,Rewards 
7084,I was given the opportunity to restore my credit again.,Policy 
7085,I activated a replacement card because my wallet was stolen. I tried it at YYY and it was declined. The cashier then tapped it and it worked. The next few days it was declined everywhere I tried it. The customer service rep over the phone said attempt to pay for something three times where the first two attempts will decline and the third attempt will work. Well the first three attempts were declined and it didn't even ask me for my 4 digit pin; the fourth attempt I tried to tap and it didn't work either. I haven't called back because I don't feel like wasting my time on the phone anymore today.,"Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Payments ,Phone Experience "
7086,Every time I call the help from CSR is great.,"Representative ,Representative "
7087,The customer service dept. is excellent.,Customer Service 
7088,Asked to send a replacement card three weeks ago never showed never on the system,"Credit/Debit Card ,Credit/Debit Card "
7089,"If you looked at the reason for my call and read the interactions, you would not have to ask “why”.  I asked for a credit increase, even a temporary one, until we got back home in 3 days time, and we were maxed out.  We forgot we had a smaller limit on this card and didn’t think to extend it before we left.  However, the main reason I am unhappy is your reason for NOT giving me a credit increase is because we don’t spend enough to warrant it.  If it was because we were a poor risk, I would have understandood but our credit rating was not the problem.  I asked them to just extend it for a few days but NO.  We had insurance for the trip based on putting everything on the  ABC card and I was concerned about that.  Anyway, we will now use it only for YYY from now on.","Brand ,Policy ,Promotions and Benefits ,Terms "
7090,Good service/ no issues with the card,"Customer Service ,Issue Resolution "
7091,Representatives have been courteous and helpful.  The main reason would be the convenience at gas pump and checkout.,"Representative ,Representative "
7092,my application didnt get rejected,Becoming a Customer 
7093,"I set up for automatic pay plan.I called a week later to confirm it was set up and was told every thing was done .Two days ago i got a email saying my 
account was over due.I called and was told it took 11 days to set up not 10 as per your web site.Needless to say im not to happy.Im going to bank monday to pay my account in full.On the other hand i would recommend your card as im pleased with your company other than the above.","Payments ,Payments ,Phone Experience "
7094,"I always have good experience dealing with the customer service of  ABC, esp the last one, I spoke to Chad, he was very helpful.","Customer Service ,Representative ,Representative "
7095,Very good service help me with my problem the representive was pleasant and made sure that I was taken care of to my satisfaction,"Customer Service ,Issue Resolution ,Representative ,Representative "
7096,Pull all your provider contract from other countries bring it back to Canada and make  ABC to Canadian credit card,Credit/Debit Card 
7097,My problems were not corrected and I cannot access my account online,"Issue Resolution ,Issue Resolution ,Representative "
7098,Just building credit. The customer service when I call because online app. Sucks is usually good. Still awaiting to see if address change to a po box was understood.,"Account Maintenance & Closing ,Life Events ,Policy "
7099,Took the fraud investigation seriously.,Fraud and Disputes 
7100,friendly service.,Representative 
7101,"Generally , service has always been good, your comany staff have been pleasant and helpful,however found your rates have been too high average at approx 23 per cent !!!.","Customer Service ,Representative ,Representative ,Representative "
7102,"Civility and action. Your people even took out a "" prank call "" that was evidently part of the attempted theft",Phone Experience 
7103,Polite and respectful,Representative 
7104,"Your system was down when I called and I was asked to be on a call back and no one has returned my call yet!!
Not very happy with the service at the moment!   Still waiting for a call back.","Customer Service ,Customer Service "
7105,Very helpful,Representative 
7106,Actually i had good experience using the credit card.,Brand 
7107," ABC has been good to me, just wouldn't recommend going into debt anymore",Brand 
7108,My questions were answered just fine.  Did have to wait a very long time though on the phone.,Representative 
7109, ABC has been good with me,Brand 
7110,The amount of time i was on hold was outrageous.  There is one thing u will never get back and that is time . I was on hold for close to a half hr.,Phone Experience 
7111,I have not been able to log into my account online or on my phone for over two weeks. When I called and talked to Support they told me they made a mistake on credit keeper and it will take up to two weeks to remove some sensitive information. This is absolutely unacceptable and will force me to consolidate my credit needs towards my visa cards. I am very disappointed with  ABC,"Brand ,Website Security "
7112,Good service,Customer Service 
7113,Your personal are well informed very proficient and helpful and polite.,"Representative ,Representative ,Representative "
7114,"Prompt service, easy to call in only needing a few numbers not the whole set politely answered my questions and respected me even having a high balance low credit limit felt like a wanted respected customer","Phone Experience ,Representative ,Representative ,Terms "
7115,I found the answer as a “canned” style policy answer and it didn’t make me feel like an individual that C1 cared much about.,Representative 
7116,The call was short and to the point the operator was pleasant and helpful,"Phone Experience ,Representative ,Representative ,Representative "
7117,I have very happy with  ABC.,Brand 
7118,Great service,Customer Service 
7119,Took 4 weeks and over 6 hrs on the phond to get my issue resolved!,"Issue Resolution ,Representative "
7120,Great customer service,Customer Service 
7121,"I didnt like the policy of not giving me a higher credit limit even though i have been paying monthly with no delay. 
And before i got a blocked payment cause i exceeded the limits.","Payments ,Terms "
7122,"I was on call for 2.5 hours . I was transfered 6 times to different departments, then call dropped then I had to call again and be on hold. You would think simply wanting to change address would not take 2.5 hours. All for a simple procedure, after awhile I thought maybe this was a scam because of how many departments I was transfered to, and each asked me the same personal information. I was emailed, saying to update my info.. I did and after an hour I figured it was a scam or somrithing","Account Maintenance & Closing ,Phone Experience ,Phone Experience ,Phone Experience "
7123,I ask for a credit increase due to the fact that my financial circumstances have changed drastically since first applying for the card and I was denied. Not only that but you do not offer instantaneous payments and it takes 3 to 4 business days for posting to occur whereas other apps allow in-app payment that is immediate,"Banking Products/Services ,Becoming a Customer ,Becoming a Customer ,Credit/Debit Card ,Payments ,Terms "
7124,"Every time I phone  ABC, they give me the information I ask for, without issue.  I recently closed my account due to a remortgage on my house and one stipulation was that I had to close and payout any credit cards.  I will definitely recommend  ABC to anyone.  

Thanks!
Chelsea Vermette","Account Maintenance & Closing ,Brand ,Credit/Debit Card ,Loans ,Representative "
7125,I asked for help and your employee did not solve my problem. She did not even understand the urgency of the matter. Very disappointed.,"Issue Resolution ,Issue Resolution ,Representative ,Representative ,Representative ,Representative "
7126,Because you guys helped me out with get my new card and you guys helped me out a lot with get one so thank you so much,"Credit/Debit Card ,Representative "
7127,No. The support person was very helpful.,Representative 
7128,Agent was very polite and helpful.,"Representative ,Representative "
7129,Excellent customer service. Good card security. Excellent rewards program.,"Customer Service ,Rewards ,Rewards "
7130,I have had my card compromised twice and both cases your support was great,"Customer Service ,Fraud and Disputes "
7131,I was able to rebuild my credit after many year of hard time.,"Life Events ,Policy "
7132,"I signed up for the card , was approved , got a code via the post, never received a physical card. Tried to contact you no luck, finally cancelled it when email came with last 4 digits. Was surprised that no one offered me a chance at a new card, since Inwas already approved.",Credit/Debit Card 
7133,"I have been a customer for over a year, with the exception of an oversight my last payment have always made my payments on time- always exceeding the minimums (unfortunately contrary to your service rep's claims, I am paid the 15 & last of the month & any late payments were not backdated to the time of the transfer from my bank account but from the time you received them). I have a relatively low limit & when I requested a credit increase was flatly refused. I pay fairly high interest rates on this card which you're only too happy to take, I have never requested a rate decrease & yet apparently I'm a credit risk not worthy of a small increase. Not a problem, I will apply for a Visa with my own bank & pay off my balance.

thank you

Michael Burton","Brand ,Payments ,Payments ,Terms ,Terms "
7134,"Agent was unable to resolve my issue.   ABC changed it's online website interface and it is clear to me that:
1. Testing was not thorough enough to ensure a seamless customer experience. 
2.  Agents are NOT equipped with enough information or access to Technical Support to address issue. 
3. There did not appear to be any point of escalation to enable the agent to resolve my issue. 

I was told to ""wait 72 hours and try again""   Not great advise, nor acceptable customer experience. 
By the way, I did wait 72 hours and issue was still NOT resolved.","Customer Service ,Issue Resolution ,Issue Resolution ,Issue Resolution ,Representative "
7135,I am not happy with the inability to raise my credit limit,Terms 
7136,Excellent and faster customer service compared to 3 other companies from which I have credit cards.,Customer Service 
7137,The representive was helpful,Representative 
7138,Very easy to talk to and you get your answers,Representative 
7139,The recent experience with  ABC which still locks me out of my account so that I can't review my transactions details ought to say my dissatisfaction with the experience.,Brand 
7140,Service was professional and friendly,"Representative ,Representative "
7141,Very helpful however on hold very long,"Phone Experience ,Representative "
7142,The representative was friendly and helpful.,"Representative ,Representative "
7143,quick answers to questions and friendly people,"Representative ,Representative "
7144,"Charged an overdraft fee for using credit card, highway robbery. Interest is already being charged and instead of helping facilitate the down payment of the credit card,  ABC ""buries"" the user deeper in debt. Crooks....","Terms ,Terms "
7145,Because good service,Customer Service 
7146,person could not speak English,Representative 
7147,I like the service same time long lines but overall is very good,Branch 
